ville,Emmanuel Macron,Marine Le Pen
Armentières-sur-Ourcq,55.71,44.29
Arrancy,40.0,60.0
Artemps,35.39,64.61
Assis-sur-Serre,41.3,58.7
Athies-sous-Laon,44.54,55.46
Attilly,43.94,56.06
Aubencheul-aux-Bois,46.9,53.1
Aubenton,27.58,72.42
Aubigny-aux-Kaisnes,30.3,69.7
Aubigny-en-Laonnois,48.28,51.72
Audignicourt,39.06,60.94
Audigny,38.46,61.54
Augy,40.0,60.0
Aulnois-sous-Laon,50.77,49.23
Les Autels,32.43,67.57
Autremencourt,43.0,57.0
Autreppes,44.76,55.24
Autreville,43.6,56.4
Azy-sur-Marne,44.66,55.34
Bagneux,20.59,79.41
Bancigny,33.33,66.67
Barenton-Bugny,45.39,54.61
Barenton-Cel,36.96,63.04
Barenton-sur-Serre,37.7,62.3
Barisis-aux-Bois,40.48,59.52
Barzy-en-Thiérache,34.09,65.91
Barzy-sur-Marne,48.7,51.3
Bassoles-Aulers,42.47,57.53
Vallées en Champagne,56.56,43.44
Bazoches-sur-Vesles,51.66,48.34
Beaumé,30.99,69.01
Beaumont-en-Beine,30.93,69.07
Beaurevoir,33.28,66.72
Beaurieux,43.51,56.49
Beautor,40.91,59.09
Beauvois-en-Vermandois,47.13,52.87
Becquigny,32.37,67.63
Belleau,36.67,63.33
Bellenglise,31.22,68.78
Belleu,50.99,49.01
Bellicourt,32.44,67.56
Benay,39.81,60.19
Bergues-sur-Sambre,45.0,55.0
Berlancourt,27.78,72.22
Berlise,38.36,61.64
Bernot,46.56,53.44
Berny-Rivière,44.13,55.87
Berrieux,54.39,45.61
Berry-au-Bac,32.96,67.04
Bertaucourt-Epourdon,36.63,63.37
Berthenicourt,42.59,57.41
Bertricourt,54.69,45.31
Berzy-le-Sec,49.76,50.24
Besmé,35.44,64.56
Besmont,43.43,56.57
Besny-et-Loizy,65.64,34.36
Béthancourt-en-Vaux,44.59,55.41
Beugneux,29.73,70.27
Beuvardes,33.68,66.32
Bézu-le-Guéry,44.27,55.73
Bézu-Saint-Germain,50.0,50.0
Bichancourt,43.78,56.22
Bieuxy,54.55,45.45
Bièvres,48.84,51.16
Billy-sur-Aisne,42.93,57.07
Billy-sur-Ourcq,52.38,47.62
Blanzy-lès-Fismes,58.18,41.82
Blérancourt,40.94,59.06
Blesmes,50.22,49.78
Bohain-en-Vermandois,38.41,61.59
Bois-lès-Pargny,61.54,38.46
Boncourt,42.54,57.46
Bonneil,52.13,47.87
Bonnesvalyn,42.15,57.85
Bony,25.93,74.07
Bosmont-sur-Serre,32.22,67.78
Bouconville-Vauclair,58.12,41.88
Boué,40.13,59.87
Bouffignereux,69.35,30.65
Bouresches,39.81,60.19
Bourg-et-Comin,46.25,53.75
Bourguignon-sous-Coucy,31.11,68.89
Bourguignon-sous-Montbavin,70.89,29.11
La Bouteille,35.02,64.98
Braine,42.73,57.27
Brancourt-en-Laonnois,44.77,55.23
Brancourt-le-Grand,38.72,61.28
Brasles,54.57,45.43
Braye-en-Laonnois,47.71,52.29
Braye-en-Thiérache,46.51,53.49
Bray-Saint-Christophe,26.67,73.33
Braye,49.32,50.68
Brécy,36.53,63.47
Brenelle,50.81,49.19
Breny,31.3,68.7
Brie,75.0,25.0
Brissay-Choigny,39.77,60.23
Brissy-Hamégicourt,43.28,56.72
Brumetz,48.0,52.0
Brunehamel,42.35,57.65
Bruyères-sur-Fère,37.5,62.5
Bruyères-et-Montbérault,58.79,41.21
Bruys,63.64,36.36
Bucilly,40.78,59.22
Bucy-le-Long,47.56,52.44
Bucy-lès-Cerny,51.72,48.28
Bucy-lès-Pierrepont,38.12,61.88
Buire,44.89,55.11
Buironfosse,33.93,66.07
Burelles,30.67,69.33
Bussiares,40.74,59.26
Buzancy,42.52,57.48
Caillouël-Crépigny,34.38,65.63
Camelin,32.34,67.66
La Capelle,38.57,61.43
Castres,46.67,53.33
Le Catelet,40.2,59.8
Caulaincourt,57.53,42.47
Caumont,45.66,54.34
Celles-lès-Condé,62.0,38.0
Celles-sur-Aisne,31.17,68.83
Cerizy,62.16,37.84
Cerny-en-Laonnois,40.0,60.0
Cerny-lès-Bucy,61.76,38.24
Cerseuil,43.75,56.25
Cessières,55.91,44.09
Chacrise,45.41,54.59
Chaillevois,66.67,33.33
Chalandry,41.88,58.12
Chambry,56.73,43.27
Chamouille,52.67,47.33
Champs,38.56,61.44
Chaourse,46.79,53.21
La Chapelle-sur-Chézy,37.59,62.41
Charly-sur-Marne,50.31,49.69
Le Charmel,37.57,62.43
Charmes,42.6,57.4
Chartèves,53.89,46.11
Chassemy,42.06,57.94
Château-Thierry,62.48,37.52
Châtillon-lès-Sons,23.21,76.79
Châtillon-sur-Oise,47.06,52.94
Chaudardes,46.0,54.0
Chaudun,36.59,63.41
Chauny,49.36,50.64
Chavignon,46.67,53.33
Chavigny,44.86,55.14
Chavonne,30.0,70.0
Chérêt,65.0,35.0
Chermizy-Ailles,42.11,57.89
Chéry-Chartreuve,35.39,64.61
Chéry-lès-Pouilly,48.92,51.08
Chéry-lès-Rozoy,30.91,69.09
Chevennes,36.23,63.77
Chevregny,38.0,62.0
Chevresis-Monceau,26.63,73.37
Chézy-en-Orxois,49.74,50.26
Chézy-sur-Marne,53.91,46.09
Chierry,61.8,38.2
Chigny,35.87,64.13
Chivres-en-Laonnois,29.95,70.05
Chivres-Val,35.14,64.86
Chivy-lès-Etouvelles,46.84,53.16
Chouy,37.36,62.64
Cierges,52.5,47.5
Cilly,50.0,50.0
Ciry-Salsogne,40.32,59.68
Clacy-et-Thierret,39.88,60.12
Clairfontaine,43.94,56.06
Clamecy,50.46,49.54
Clastres,37.66,62.34
Clermont-les-Fermes,45.61,54.39
Coeuvres-et-Valsery,34.59,65.41
Coincy,41.33,58.67
Coingt,58.82,41.18
Colligis-Crandelain,42.16,57.84
Colonfay,56.25,43.75
Commenchon,58.82,41.18
Concevreux,50.0,50.0
Condé-en-Brie,43.71,56.29
Condé-sur-Aisne,36.74,63.26
Condé-sur-Suippe,45.95,54.05
Condren,41.5,58.5
Connigis,40.74,59.26
Contescourt,32.14,67.86
Corbeny,45.16,54.84
Corcy,50.29,49.71
Coucy-le-Château-Auffrique,52.26,47.74
Coucy-lès-Eppes,55.44,44.56
Coucy-la-Ville,45.88,54.12
Coulonges-Cohan,44.59,55.41
Coupru,27.03,72.97
Courbes,54.55,45.45
Courboin,41.25,58.75
Courcelles-sur-Vesles,26.23,73.77
Courchamps,39.22,60.78
Courmelles,43.9,56.1
Courmont,25.37,74.63
Courtemont-Varennes,48.3,51.7
Courtrizy-et-Fussigny,81.25,18.75
Couvrelles,44.76,55.24
Couvron-et-Aumencourt,43.81,56.19
Coyolles,49.14,50.86
Cramaille,32.47,67.53
Craonne,57.53,42.47
Craonnelle,48.48,51.52
Crécy-au-Mont,45.35,54.65
Crécy-sur-Serre,38.32,61.68
Crépy,42.69,57.31
Crézancy,46.14,53.86
Croix-Fonsommes,48.7,51.3
La Croix-sur-Ourcq,43.08,56.92
Crouttes-sur-Marne,48.59,51.41
Crouy,49.62,50.38
Crupilly,53.85,46.15
Cuffies,46.55,53.45
Cugny,41.4,58.6
Cuirieux,46.67,53.33
Cuiry-Housse,54.1,45.9
Cuiry-lès-Chaudardes,39.02,60.98
Cuiry-lès-Iviers,44.44,55.56
Cuissy-et-Geny,47.83,52.17
Cuisy-en-Almont,49.76,50.24
Cutry,63.49,36.51
Cys-la-Commune,34.25,65.75
Dagny-Lambercy,30.26,69.74
Dallon,49.2,50.8
Dammard,42.46,57.54
Dampleux,52.61,47.39
Danizy,38.95,61.05
Dercy,37.7,62.3
Deuillet,34.55,65.45
Dhuizel,38.36,61.64
Dizy-le-Gros,41.18,58.82
Dohis,33.33,66.67
Dolignon,48.57,51.43
Dommiers,45.7,54.3
Domptin,45.85,54.15
Dorengt,53.33,46.67
Douchy,21.43,78.57
Dravegny,55.7,44.3
Droizy,41.18,58.82
Dury,35.66,64.34
Ebouleau,47.37,52.63
Effry,32.52,67.48
Englancourt,40.51,59.49
Epagny,40.0,60.0
Eparcy,61.76,38.24
Epaux-Bézu,50.0,50.0
Epieds,46.75,53.25
L'Epine-aux-Bois,43.1,56.9
Eppes,47.37,52.63
Erlon,37.74,62.26
Erloy,38.18,61.82
Esquéhéries,37.33,62.67
Essigny-le-Grand,55.98,44.02
Essigny-le-Petit,40.32,59.68
Essises,45.2,54.8
Essômes-sur-Marne,53.21,46.79
Estrées,49.48,50.52
Etampes-sur-Marne,48.25,51.75
Etaves-et-Bocquiaux,45.61,54.39
Etouvelles,51.56,48.44
Etréaupont,36.3,63.7
Etreillers,47.57,52.43
Etrépilly,52.38,47.62
Etreux,34.96,65.04
Evergnicourt,41.64,58.36
Faucoucourt,44.14,55.86
Faverolles,44.81,55.19
Fayet,70.59,29.41
La Fère,43.51,56.49
Fère-en-Tardenois,46.6,53.4
La Ferté-Chevresis,42.47,57.53
La Ferté-Milon,46.59,53.41
Fesmy-le-Sart,36.4,63.6
Festieux,43.69,56.31
Fieulaine,40.65,59.35
Filain,49.33,50.67
La Flamengrie,33.87,66.13
Flavigny-le-Grand-et-Beaurain,38.37,61.63
Flavy-le-Martel,47.05,52.95
Fleury,54.64,45.36
Fluquières,38.21,61.79
Folembray,38.32,61.68
Fonsommes,39.68,60.32
Fontaine-lès-Clercs,49.36,50.64
Fontaine-lès-Vervins,49.49,50.51
Fontaine-Notre-Dame,44.26,55.74
Fontaine-Uterte,45.83,54.17
Fontenelle,46.94,53.06
Fontenoy,44.32,55.68
Foreste,32.26,67.74
Fossoy,52.15,47.85
Fourdrain,53.71,46.29
Francilly-Selency,61.4,38.6
Franqueville,26.09,73.91
Fresnes-en-Tardenois,45.97,54.03
Fresnes,42.68,57.32
Fresnoy-le-Grand,46.6,53.4
Fressancourt,31.62,68.38
Frières-Faillouël,37.6,62.4
Froidestrées,42.59,57.41
Froidmont-Cohartille,54.33,45.67
Gandelu,45.17,54.83
Gauchy,47.47,52.53
Gercy,32.12,67.88
Gergny,36.9,63.1
Germaine,57.69,42.31
Gibercourt,41.18,58.82
Gizy,40.0,60.0
Gland,49.47,50.53
Goudelancourt-lès-Berrieux,47.83,52.17
Goudelancourt-lès-Pierrepont,40.66,59.34
Goussancourt,47.17,52.83
Gouy,42.91,57.09
Grandlup-et-Fay,43.18,56.82
Grandrieux,26.0,74.0
Gricourt,54.3,45.7
Grisolles,46.51,53.49
Gronard,57.5,42.5
Grougis,35.38,64.62
Grugies,49.18,50.82
Guignicourt,48.52,51.48
Guise,43.21,56.79
Guivry,52.21,47.79
Guny,34.86,65.14
Guyencourt,54.62,45.38
Hannapes,33.55,66.45
Happencourt,34.83,65.17
Haramont,48.79,51.21
Harcigny,37.69,62.31
Hargicourt,41.08,58.92
Harly,54.83,45.17
Hartennes-et-Taux,40.46,59.54
Hary,40.14,59.86
Lehaucourt,34.31,65.69
Hautevesnes,43.66,56.34
Hauteville,43.48,56.52
Haution,49.4,50.6
La Hérie,39.8,60.2
Le Hérie-la-Viéville,40.58,59.42
Hinacourt,52.17,47.83
Hirson,45.32,54.68
Holnon,49.8,50.2
Homblières,57.68,42.32
Houry,35.9,64.1
Housset,33.33,66.67
Iron,34.48,65.52
Itancourt,55.2,44.8
Iviers,31.25,68.75
Jaulgonne,47.21,52.79
Jeancourt,41.13,58.87
Jeantes,41.12,58.88
Joncourt,33.98,66.02
Jouaignes,51.39,48.61
Jumencourt,48.89,51.11
Jumigny,48.0,52.0
Jussy,35.23,64.77
Juvigny,36.71,63.29
Juvincourt-et-Damary,42.39,57.61
Laffaux,29.41,70.59
Laigny,26.55,73.45
Lanchy,38.24,61.76
Landifay-et-Bertaignemont,32.93,67.07
Landouzy-la-Cour,41.51,58.49
Landouzy-la-Ville,49.14,50.86
Landricourt,56.72,43.28
Laniscourt,45.45,54.55
Laon,57.66,42.34
Lappion,43.33,56.67
Largny-sur-Automne,68.18,31.82
Latilly,35.83,64.17
Launoy,39.68,60.32
Laval-en-Laonnois,43.23,56.77
Lavaqueresse,47.1,52.9
Laversine,32.18,67.82
Lemé,36.55,63.45
Lempire,30.19,69.81
Lerzy,44.0,56.0
Leschelle,47.44,52.56
Lesdins,45.38,54.62
Lesges,45.83,54.17
Lesquielles-Saint-Germain,44.27,55.73
Leuilly-sous-Coucy,32.02,67.98
Leury,57.69,42.31
Leuze,34.91,65.09
Levergies,47.14,52.86
Lhuys,37.93,62.07
Licy-Clignon,42.22,57.78
Lierval,56.14,43.86
Liesse-Notre-Dame,43.81,56.19
Liez,45.28,54.72
Limé,39.22,60.78
Lislet,49.65,50.35
Lizy,50.41,49.59
Logny-lès-Aubenton,34.62,65.38
Longpont,58.82,41.18
Les Septvallons,42.46,57.54
Lor,36.78,63.22
Louâtre,59.84,40.16
Loupeigne,37.25,62.75
Lucy-le-Bocage,49.0,51.0
Lugny,25.61,74.39
Luzoir,54.49,45.51
Ly-Fontaine,52.24,47.76
Maast-et-Violaine,46.97,53.03
Mâchecourt,23.26,76.74
Macogny,57.5,42.5
Macquigny,36.36,63.64
Magny-la-Fosse,51.39,48.61
Maissemy,57.25,42.75
Maizy,41.06,58.94
La Malmaison,37.89,62.11
Malzy,37.82,62.18
Manicamp,39.22,60.78
Marchais,44.02,55.98
Dhuys et Morin-en-Brie,39.73,60.27
Marcy,59.83,40.17
Marcy-sous-Marle,28.8,71.2
Marest-Dampcourt,31.98,68.02
Mareuil-en-Dôle,39.53,60.47
Marfontaine,31.43,68.57
Margival,48.07,51.93
Marigny-en-Orxois,47.14,52.86
Marizy-Sainte-Geneviève,32.35,67.65
Marizy-Saint-Mard,46.88,53.13
Marle,40.7,59.3
Marly-Gomont,38.02,61.98
Martigny,38.92,61.08
Martigny-Courpierre,56.92,43.08
Mauregny-en-Haye,45.37,54.63
Mayot,37.89,62.11
