lien,Emmanuel Macron,Marine Le Pen
https://www.journaldunet.com/management/ville/velle-sur-moselle/ville-54559,49.41,50.59
https://www.journaldunet.com/management/ville/auzelles/ville-63023,48.95,51.05
https://www.journaldunet.com/management/ville/les-salles-du-gardon/ville-30307,46.04,53.96
https://www.journaldunet.com/management/ville/bourrou/ville-24061,55.41,44.59
https://www.journaldunet.com/management/ville/villeneuve-saint-georges/ville-94078,66.24,33.76
https://www.journaldunet.com/management/ville/miramont-sensacq/ville-40185,58.42,41.58
https://www.journaldunet.com/management/ville/allondrelle-la-malmaison/ville-54011,45.1,54.9
https://www.journaldunet.com/management/ville/saint-pierre-eynac/ville-43218,49.93,50.07
https://www.journaldunet.com/management/ville/saints-geosmes/ville-52449,47.92,52.08
https://www.journaldunet.com/management/ville/tieffenbach/ville-67491,51.35,48.65
https://www.journaldunet.com/management/ville/berberust-lias/ville-65082,56.52,43.48
https://www.journaldunet.com/management/ville/erce-en-lamee/ville-35106,54.13,45.88
https://www.journaldunet.com/management/ville/cause-de-clerans/ville-24088,37.71,62.29
https://www.journaldunet.com/management/ville/gouy-les-groseillers/ville-60283,30.77,69.23
https://www.journaldunet.com/management/ville/planfoy/ville-42172,66.1,33.9
https://www.journaldunet.com/management/ville/saint-avit-riviere/ville-24378,36.84,63.16
https://www.journaldunet.com/management/ville/choisy/ville-74076,57.04,42.96
https://www.journaldunet.com/management/ville/ostwald/ville-67365,62.68,37.32
https://www.journaldunet.com/management/ville/saint-mamert-du-gard/ville-30281,45.39,54.61
https://www.journaldunet.com/management/ville/ychoux/ville-40332,49.72,50.28
https://www.journaldunet.com/management/ville/torcy-en-valois/ville-02744,47.73,52.27
https://www.journaldunet.com/management/ville/danne-et-quatre-vents/ville-57168,43.15,56.85
https://www.journaldunet.com/management/ville/rilhac-xaintrie/ville-19173,47.18,52.82
https://www.journaldunet.com/management/ville/thoiras/ville-30329,54.67,45.33
https://www.journaldunet.com/management/ville/viller/ville-57717,40.37,59.63
https://www.journaldunet.com/management/ville/la-batie-montsaleon/ville-05016,47.02,52.98
https://www.journaldunet.com/management/ville/cambes/ville-47047,52.87,47.13
https://www.journaldunet.com/management/ville/beaumont-en-diois/ville-26036,91.89,8.11
https://www.journaldunet.com/management/ville/saint-broladre/ville-35259,47.48,52.52
https://www.journaldunet.com/management/ville/millieres/ville-50328,53.44,46.56
https://www.journaldunet.com/management/ville/barjac/ville-30029,55.89,44.11
https://www.journaldunet.com/management/ville/lys-lez-lannoy/ville-59367,56.23,43.77
https://www.journaldunet.com/management/ville/royan/ville-17306,60.32,39.68
https://www.journaldunet.com/management/ville/villard/ville-74301,55.53,44.47
https://www.journaldunet.com/management/ville/comines/ville-59152,50.39,49.61
https://www.journaldunet.com/management/ville/euzet/ville-30109,42.74,57.26
https://www.journaldunet.com/management/ville/courtelevant/ville-90028,40.09,59.91
https://www.journaldunet.com/management/ville/tombeboeuf/ville-47309,39.15,60.85
https://www.journaldunet.com/management/ville/saint-laurent-sur-mer/ville-14605,56.9,43.1
https://www.journaldunet.com/management/ville/balaruc-les-bains/ville-34023,40.98,59.02
https://www.journaldunet.com/management/ville/saulces-monclin/ville-08402,42.01,57.99
https://www.journaldunet.com/management/ville/kerfourn/ville-56092,47.05,52.95
https://www.journaldunet.com/management/ville/gizeux/ville-37112,51.74,48.26
https://www.journaldunet.com/management/ville/trainel/ville-10382,40.57,59.43
https://www.journaldunet.com/management/ville/hocquinghen/ville-62455,44.29,55.71
https://www.journaldunet.com/management/ville/montgon/ville-08301,60.0,40.0
https://www.journaldunet.com/management/ville/quantilly/ville-18189,56.86,43.14
https://www.journaldunet.com/management/ville/ervauville/ville-45136,37.5,62.5
https://www.journaldunet.com/management/ville/fretigney-et-velloreille/ville-70257,35.06,64.94
https://www.journaldunet.com/management/ville/saint-maurice-de-remens/ville-01379,32.89,67.11
https://www.journaldunet.com/management/ville/saint-gerand-le-puy/ville-03235,38.96,61.04
https://www.journaldunet.com/management/ville/les-hautes-rivieres/ville-08218,31.86,68.14
https://www.journaldunet.com/management/ville/saint-martin-sur-oust/ville-56229,57.83,42.17
https://www.journaldunet.com/management/ville/cantoin/ville-12051,53.21,46.79
https://www.journaldunet.com/management/ville/maisons-laffitte/ville-78358,77.84,22.16
https://www.journaldunet.com/management/ville/tournecoupe/ville-32452,50.56,49.44
https://www.journaldunet.com/management/ville/gaussan/ville-65187,44.26,55.74
https://www.journaldunet.com/management/ville/saint-maurice-les-brousses/ville-87169,49.82,50.18
https://www.journaldunet.com/management/ville/duranus/ville-06055,36.17,63.83
https://www.journaldunet.com/management/ville/utelle/ville-06151,32.5,67.5
https://www.journaldunet.com/management/ville/saint-rustice/ville-31515,46.64,53.36
https://www.journaldunet.com/management/ville/le-ribay/ville-53190,53.36,46.64
https://www.journaldunet.com/management/ville/lignol/ville-56110,54.25,45.75
https://www.journaldunet.com/management/ville/saint-symphorien-sous-chomerac/ville-07298,49.04,50.96
https://www.journaldunet.com/management/ville/ramousies/ville-59493,43.51,56.49
https://www.journaldunet.com/management/ville/dampierre-les-bois/ville-25190,48.38,51.62
https://www.journaldunet.com/management/ville/jussecourt-minecourt/ville-51311,29.36,70.64
https://www.journaldunet.com/management/ville/badmenil-aux-bois/ville-88027,18.56,81.44
https://www.journaldunet.com/management/ville/saint-igeaux/ville-22334,76.0,24.0
https://www.journaldunet.com/management/ville/thueyts/ville-07322,38.96,61.04
https://www.journaldunet.com/management/ville/chauvac-laux-montaux/ville-26091,39.47,60.53
https://www.journaldunet.com/management/ville/saint-mard/ville-54479,56.36,43.64
https://www.journaldunet.com/management/ville/broyes/ville-60111,36.71,63.29
https://www.journaldunet.com/management/ville/sapogne-et-feucheres/ville-08400,43.82,56.18
https://www.journaldunet.com/management/ville/saint-julia/ville-31491,60.09,39.91
https://www.journaldunet.com/management/ville/honfleur/ville-14333,54.64,45.36
https://www.journaldunet.com/management/ville/zittersheim/ville-67559,52.26,47.74
https://www.journaldunet.com/management/ville/lagrange/ville-65245,34.48,65.52
https://www.journaldunet.com/management/ville/verpel/ville-08470,46.77,53.23
https://www.journaldunet.com/management/ville/lebetain/ville-90063,35.85,64.15
https://www.journaldunet.com/management/ville/sonnac-sur-l-hers/ville-11380,42.11,57.89
https://www.journaldunet.com/management/ville/sahurs/ville-76550,60.34,39.66
https://www.journaldunet.com/management/ville/lettret/ville-05074,45.8,54.2
https://www.journaldunet.com/management/ville/reinhardsmunster/ville-67391,43.11,56.89
https://www.journaldunet.com/management/ville/henin-beaumont/ville-62427,32.85,67.15
https://www.journaldunet.com/management/ville/villaines-les-rochers/ville-37271,55.85,44.15
